Region,State_UT,Sector,Coal_MW,Lignite_MW,Gas_MW,Diesel_MW,Thermal_Total_MW,Nuclear_MW,Hydro_MW,RES_MNRE_MW,Total_RES_incl_Hydro_MW,Grand_Total_MW,thermal_share_pct,hydro_share_pct,nuclear_share_pct,res_share_pct,coal_share_thermal_pct,lignite_share_thermal_pct,gas_share_thermal_pct,diesel_share_thermal_pct,non_fossil_capacity_mw,non_fossil_share_pct
Northern Region,Ladakh,State,9115.0,0.0,0.0,0.0,9115.0,0.0,724.1,21.13,745.23,9860.23,92.44206271050473,7.343642085428029,0.0,0.21429520406724795,100.0,0.0,0.0,0.0,745.23,7.557937289495276
Northern Region,Ladakh,Private,8814.33,0.0,0.0,0.0,8814.33,0.0,842.4,7816.73,8659.13,17473.46,50.44410208396047,4.821025715570928,0.0,44.734872200468594,100.0,0.0,0.0,0.0,8659.13,49.55589791603952
Northern Region,Ladakh,Central,8238.19,0.0,1029.51,0.0,9267.7,370.45,2108.52,567.06,2675.58,12313.73,75.26314122528268,17.123324938909658,3.008430426848729,4.605103408958942,88.89141858281991,0.0,11.108581417180098,0.0,3046.0299999999997,24.736858774717327
Northern Region,Ladakh,Sub-Total,26167.52,0.0,1029.51,0.0,27197.03,370.45,3675.02,8404.92,12079.94,39647.42,68.59722524189468,9.26925383795465,0.9343609243678404,21.19915999578283,96.21462343498537,0.0,3.785376565014636,0.0,12450.39,31.402774758105316
Northern Region,Ladakh,State,0.0,0.0,0.0,0.0,0.0,0.0,1372.15,3.1,1375.25,1375.25,0.0,99.77458643882932,0.0,0.22541356117069625,,,,,1375.25,100.0
Northern Region,Ladakh,Private,99.0,0.0,664.0,0.0,763.0,0.0,248.2,1281.85,1530.05,2293.05,33.2744597806415,10.82401168749046,0.0,55.901528531868024,12.975098296199214,0.0,87.02490170380078,0.0,1530.05,66.72554021935849
Northern Region,Ladakh,Central,554.63,0.0,69.66,0.0,624.29,47.51,743.5,2.24,745.74,1417.53,44.040690496850154,52.45038905702172,3.351604551579155,0.15802134699089262,88.84172419868972,0.0,11.158275801310289,0.0,793.25,55.960014955591774
Northern Region,Ladakh,Sub-Total,653.63,0.0,733.66,0.0,1387.29,47.51,2363.85,1287.18,3651.03,5085.83,27.277553516338532,46.47913909823962,0.9341641384002218,25.309143247021627,47.115599478119215,0.0,52.88440052188079,0.0,3698.54,72.72244648366146
Northern Region,Ladakh,State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,
Northern Region,Ladakh,Private,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.85,78.85,78.85,0.0,0.0,0.0,100.0,,,,,78.85,100.0
Northern Region,Ladakh,Central,44.86,0.0,15.03,0.0,59.88,10.41,106.21,0.0,106.21,176.5,33.92634560906516,60.1756373937677,5.898016997167139,0.0,74.91649966599866,0.0,25.100200400801604,0.0,116.61999999999999,66.07365439093485
Northern Region,Ladakh,Sub-Total,44.86,0.0,15.03,0.0,59.88,10.41,106.21,78.85,185.06,255.35,23.450166438222052,41.59389073820247,4.076757391815155,30.879185431760327,74.91649966599866,0.0,25.100200400801604,0.0,195.46999999999997,76.54983356177794
Northern Region,Ladakh,Central,1703.67,0.0,291.05,0.0,1994.72,342.03,871.45,0.0,871.45,3208.21,62.17548103147861,27.163122114824155,10.661085153403299,0.0,85.40897970642496,0.0,14.591020293575038,0.0,1213.48,37.824207268227454
Northern Region,Ladakh,State,21505.0,250.0,2703.9,0.0,24458.9,0.0,6109.74,892.21,7001.95,31460.85,77.74392618126974,19.420136455308743,0.0,2.8359373634215226,87.92300553172872,1.0221228264558095,11.054871641815453,0.0,7001.95,22.25607381873026
Northern Region,Total (Northern,Private,22128.33,1080.0,664.0,0.0,23872.33,0.0,3631.0,60780.64,64411.64,88283.97,27.04039023165814,4.112864430541581,0.0,68.84674533780029,92.694470962826,4.524066146873807,2.7814628903001926,0.0,64411.64,72.95960976834186
Northern Region,Region),Central,18627.71,250.0,2344.06,0.0,21221.77,2220.0,13218.93,6026.49,19245.42,42687.19,49.71460993333129,30.96697159030613,5.20062341887578,14.1177950574868,87.77642015722533,1.1780355738470447,11.045544268927616,0.0,21465.42,50.2853900666687
Northern Region,Region),Grand Total,62261.04,1580.0,5711.96,0.0,69553.0,2220.0,22959.67,67699.34,90659.01,162432.01,42.819761942242785,14.134941751936699,1.366725684180107,41.6785706216404,89.51596624157118,2.27164895834831,8.212384800080514,0.0,92879.01,57.18023805775721
Western Region,Western Region,State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,
Western Region,Western Region,Private,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.7,96.7,96.7,0.0,0.0,0.0,100.0,,,,,96.7,100.0
Western Region,Western Region,Central,492.27,0.0,19.67,0.0,511.94,41.68,6.0,1.0,7.0,560.62,91.31675644821804,1.0702436588063216,7.434625949841248,0.17837394313438693,96.15775286166347,0.0,3.842247138336524,0.0,48.68,8.683243551781954
Western Region,Western Region,Sub-Total,492.27,0.0,19.67,0.0,511.94,41.68,6.0,97.7,103.7,657.32,77.88291851761699,0.9127974198259599,6.340899409724335,14.863384652832714,96.15775286166347,0.0,3.842247138336524,0.0,145.38,22.117081482383007
