Region,thermal_generation_mean_mu,thermal_generation_std_mu,hydro_generation_mean_mu,hydro_generation_std_mu,nuclear_generation_mean_mu,nuclear_generation_std_mu,thermal_estimated_diff_mean_mu,hydro_estimated_diff_mean_mu,nuclear_estimated_diff_mean_mu,days_available,thermal_generation_trend_mu_per_day,hydro_generation_trend_mu_per_day,nuclear_generation_trend_mu_per_day
Eastern,487.4860667340749,28.29100731573313,49.22812942366026,23.207203820133614,,,13.440111223458043,-3.81732052578362,,989,0.05197390483151091,0.011225181455836977,
NorthEastern,32.47299292214358,2.65203785767339,17.808210313447926,8.391260535386058,,,-1.0011729019211324,3.5931850353892822,,989,0.007251246862091963,0.004655714890217077,
Northern,662.3339332659252,39.29587410478974,190.95466127401417,88.97223658425806,27.263983822042466,3.1094048442697164,53.46788675429727,-12.487229524772497,-4.463963599595552,989,0.0976136494772576,0.046846518230235654,-0.0006881439503794677
Southern,617.5465722952478,41.6809352369498,71.900242669363,15.58755642574125,56.476450960566225,10.549827302674979,67.66921132457028,-6.040910010111223,9.476208291203235,989,-0.012934756121945811,-0.010845041043436456,0.013331783621373544
Western,1220.0522244691606,89.11610044548326,36.6383619817998,11.219053240526838,27.98618806875632,8.98264410237084,9.34017189079879,1.067057633973711,-4.249251769464105,989,0.19179370603876292,-0.015621951989488606,0.020662090091066242
