state_id,state_name,region,fiscal_year,cumulative_re_capacity_mw
IN-OR,Odisha,Eastern Region,2019_20,2686.38
IN-SK,Sikkim,Eastern Region,2019_20,2223.05
IN-WB,West Bengal,Eastern Region,2019_20,1888.03
IN-AP,Andhra Pradesh,Southern Region,2019_20,10091.4
IN-KA,Karnataka,Southern Region,2019_20,18918.1
IN-KL,Kerala,Southern Region,2019_20,2304.35
IN-TN,Tamil Nadu,Southern Region,2019_20,16588.8
IN-TG,Telangana,Southern Region,2019_20,6442.85
IN-LD,Lakshadweep,Southern Region,2019_20,3.27
IN-PY,Puducherry,Southern Region,2019_20,5.69
IN-HR,Haryana,Northern Region,2020_21,762.51
IN-HP,Himachal Pradesh,Northern Region,2020_21,10916.61
IN-JK,Jammu and Kashmir,Northern Region,2020_21,3588.11
IN-LA,Ladakh,Northern Region,2020_21,89.0
IN-PB,Punjab,Northern Region,2020_21,2743.8
IN-RJ,Rajasthan,Northern Region,2020_21,10812.35
IN-UP,Uttar Pradesh,Northern Region,2020_21,4563.07
IN-UT,Uttarakhand,Northern Region,2020_21,4589.24
IN-CH,Chandigarh,Northern Region,2020_21,45.97
IN-DL,Delhi,Northern Region,2020_21,246.43
IN-AR,Arunachal Pradesh,Eastern Region,2020_21,1256.27
IN-AS,Assam,Eastern Region,2020_21,437.67
IN-MN,Manipur,Eastern Region,2020_21,121.84
IN-ML,Meghalaya,Eastern Region,2020_21,372.18
IN-MZ,Mizoram,Eastern Region,2020_21,103.45
IN-NL,Nagaland,Eastern Region,2020_21,108.58
IN-TR,Tripura,Eastern Region,2020_21,29.57
IN-CT,Chhattisgarh,Western Region,2020_21,886.52
IN-GA,Goa,Western Region,2020_21,7.95
IN-GJ,Gujarat,Western Region,2020_21,15204.25
IN-MP,Madhya Pradesh,Western Region,2020_21,7526.97
IN-MH,Maharashtra,Western Region,2020_21,13382.85
IN-DH,Dadra and Nagar Haveli and Daman and Diu,Western Region,2020_21,46.01
IN-BR,Bihar,Eastern Region,2020_21,376.63
IN-JH,Jharkhand,Eastern Region,2020_21,288.21
IN-OR,Odisha,Eastern Region,2020_21,2715.63
IN-SK,Sikkim,Eastern Region,2020_21,2223.05
IN-WB,West Bengal,Eastern Region,2020_21,1923.44
IN-AP,Andhra Pradesh,Southern Region,2020_21,10696.1
IN-KA,Karnataka,Southern Region,2020_21,19149.3
IN-KL,Kerala,Southern Region,2020_21,2428.92
IN-TN,Tamil Nadu,Southern Region,2020_21,17476.7
IN-TG,Telangana,Southern Region,2020_21,6796.59
IN-LD,Lakshadweep,Southern Region,2020_21,3.27
IN-PY,Puducherry,Southern Region,2020_21,9.51
IN-HR,Haryana,Northern Region,2021_22,1242.13
IN-HP,Himachal Pradesh,Northern Region,2021_22,11303.49
IN-JK,Jammu and Kashmir,Northern Region,2021_22,3551.61
IN-LA,Ladakh,Northern Region,2021_22,136.44
IN-PB,Punjab,Northern Region,2021_22,2864.12
IN-RJ,Rajasthan,Northern Region,2021_22,17451.62
IN-UP,Uttar Pradesh,Northern Region,2021_22,4985.12
IN-UT,Uttarakhand,Northern Region,2021_22,4787.15
IN-CH,Chandigarh,Northern Region,2021_22,55.17
IN-DL,Delhi,Northern Region,2021_22,270.12
IN-AR,Arunachal Pradesh,Eastern Region,2021_22,1257.34
IN-AS,Assam,Eastern Region,2021_22,504.05
IN-MN,Manipur,Eastern Region,2021_22,122.7
IN-ML,Meghalaya,Eastern Region,2021_22,372.48
IN-MZ,Mizoram,Eastern Region,2021_22,104.37
IN-NL,Nagaland,Eastern Region,2021_22,108.71
IN-TR,Tripura,Eastern Region,2021_22,30.9
IN-CT,Chhattisgarh,Western Region,2021_22,989.08
IN-GA,Goa,Western Region,2021_22,20.34
IN-GJ,Gujarat,Western Region,2021_22,18577.9
IN-MP,Madhya Pradesh,Western Region,2021_22,7703.88
IN-MH,Maharashtra,Western Region,2021_22,13704.08
IN-DH,Dadra and Nagar Haveli and Daman and Diu,Western Region,2021_22,46.18
IN-BR,Bihar,Eastern Region,2021_22,387.35
IN-JH,Jharkhand,Eastern Region,2021_22,307.14
IN-OR,Odisha,Eastern Region,2021_22,2771.64
IN-SK,Sikkim,Eastern Region,2021_22,2338.79
IN-WB,West Bengal,Eastern Region,2021_22,1928.15
IN-AP,Andhra Pradesh,Southern Region,2021_22,10821.6
IN-KA,Karnataka,Southern Region,2021_22,19593.8
IN-KL,Kerala,Southern Region,2021_22,2527.2
IN-TN,Tamil Nadu,Southern Region,2021_22,18277.5
IN-TG,Telangana,Southern Region,2021_22,7364.79
IN-LD,Lakshadweep,Southern Region,2021_22,3.27
IN-PY,Puducherry,Southern Region,2021_22,13.69
IN-HR,Haryana,Northern Region,2022_23,1362.09
IN-HP,Himachal Pradesh,Northern Region,2022_23,11330.42
IN-JK,Jammu and Kashmir,Northern Region,2022_23,3556.12
IN-LA,Ladakh,Northern Region,2022_23,137.79
IN-PB,Punjab,Northern Region,2022_23,2961.93
IN-RJ,Rajasthan,Northern Region,2022_23,22809.05
IN-UP,Uttar Pradesh,Northern Region,2022_23,5282.65
IN-UT,Uttarakhand,Northern Region,2022_23,4909.14
IN-CH,Chandigarh,Northern Region,2022_23,58.69
IN-DL,Delhi,Northern Region,2022_23,302.26
IN-AR,Arunachal Pradesh,Eastern Region,2022_23,1259.75
IN-AS,Assam,Eastern Region,2022_23,534.04
IN-MN,Manipur,Eastern Region,2022_23,122.73
IN-ML,Meghalaya,Eastern Region,2022_23,372.48
IN-MZ,Mizoram,Eastern Region,2022_23,133.49
IN-NL,Nagaland,Eastern Region,2022_23,110.71
IN-TR,Tripura,Eastern Region,2022_23,33.61
IN-CT,Chhattisgarh,Western Region,2022_23,1419.82
IN-GA,Goa,Western Region,2022_23,26.88
IN-GJ,Gujarat,Western Region,2022_23,21425.85
IN-MP,Madhya Pradesh,Western Region,2022_23,8140.08
IN-MH,Maharashtra,Western Region,2022_23,15804.5
IN-DH,Dadra and Nagar Haveli and Daman and Diu,Western Region,2022_23,46.47
IN-BR,Bihar,Eastern Region,2022_23,389.6
IN-JH,Jharkhand,Eastern Region,2022_23,324.19
IN-OR,Odisha,Eastern Region,2022_23,2782.57
IN-SK,Sikkim,Eastern Region,2022_23,2341.8
IN-WB,West Bengal,Eastern Region,2022_23,1962.77
IN-AP,Andhra Pradesh,Southern Region,2022_23,10970.2
IN-KA,Karnataka,Southern Region,2022_23,20408.4
IN-KL,Kerala,Southern Region,2022_23,2957.1
IN-TN,Tamil Nadu,Southern Region,2022_23,20098.6
IN-TG,Telangana,Southern Region,2022_23,7510.97
IN-LD,Lakshadweep,Southern Region,2022_23,3.27
IN-PY,Puducherry,Southern Region,2022_23,35.53
IN-HR,Haryana,Northern Region,2023_24,1832.92
IN-HP,Himachal Pradesh,Northern Region,2023_24,11356.16
IN-JK,Jammu and Kashmir,Northern Region,2023_24,3595.37
IN-LA,Ladakh,Northern Region,2023_24,139.79
IN-PB,Punjab,Northern Region,2023_24,3163.92
IN-RJ,Rajasthan,Northern Region,2023_24,27103.89
IN-UP,Uttar Pradesh,Northern Region,2023_24,5697.17
IN-UT,Uttarakhand,Northern Region,2023_24,4971.94
IN-CH,Chandigarh,Northern Region,2023_24,65.52
IN-DL,Delhi,Northern Region,2023_24,340.51
IN-AR,Arunachal Pradesh,Eastern Region,2023_24,1259.9
IN-AS,Assam,Eastern Region,2023_24,542.29
IN-MN,Manipur,Eastern Region,2023_24,123.49
IN-ML,Meghalaya,Eastern Region,2023_24,395.07
IN-MZ,Mizoram,Eastern Region,2023_24,135.78
IN-NL,Nagaland,Eastern Region,2023_24,110.84
IN-TR,Tripura,Eastern Region,2023_24,34.47
IN-CT,Chhattisgarh,Western Region,2023_24,1683.39
IN-GA,Goa,Western Region,2023_24,45.47
IN-GJ,Gujarat,Western Region,2023_24,27461.72
IN-MP,Madhya Pradesh,Western Region,2023_24,9333.37
IN-MH,Maharashtra,Western Region,2023_24,17530.12
IN-DH,Dadra and Nagar Haveli and Daman and Diu,Western Region,2023_24,46.47
IN-BR,Bihar,Eastern Region,2023_24,450.15
IN-JH,Jharkhand,Eastern Region,2023_24,395.55
IN-OR,Odisha,Eastern Region,2023_24,2825.03
IN-SK,Sikkim,Eastern Region,2023_24,2344.15
IN-WB,West Bengal,Eastern Region,2023_24,1982.13
IN-AP,Andhra Pradesh,Southern Region,2023_24,11029.3
IN-KA,Karnataka,Southern Region,2023_24,21441.9
IN-KL,Kerala,Southern Region,2023_24,3229.46
IN-TN,Tamil Nadu,Southern Region,2023_24,22161.6
IN-TG,Telangana,Southern Region,2023_24,7604.4
IN-LD,Lakshadweep,Southern Region,2023_24,4.97
IN-PY,Puducherry,Southern Region,2023_24,49.91
