Region,State_UT,Sector,Coal_MW,Lignite_MW,Gas_MW,Diesel_MW,Thermal_Total_MW,Nuclear_MW,Hydro_MW,RES_MNRE_MW,Total_RES_incl_Hydro_MW,Grand_Total_MW
Western Region,Western Region,Sub-Total,15500.6,0.0,332.0,0.0,15832.6,491.98,3276.16,10513.71,13789.87,30114.45
Western Region,Western Region,State,1840.0,0.0,0.0,0.0,1840.0,0.0,120.0,217.08,337.08,2177.08
Western Region,Western Region,Private,8072.5,0.0,0.0,0.0,8072.5,0.0,0.0,2215.55,2215.55,10288.05
Western Region,Western Region,Central,2789.37,0.0,0.0,0.0,2789.37,135.57,231.5,0.0,231.5,3156.44
Western Region,Western Region,Sub-Total,12701.87,0.0,0.0,0.0,12701.87,135.57,351.5,2432.63,2784.13,15621.57
Western Region,Western Region,State,10200.0,0.0,672.0,0.0,10872.0,0.0,2850.84,353.21,3204.05,14076.05
Western Region,Western Region,Private,9656.0,0.0,180.0,0.0,9836.0,0.0,481.0,29723.76,30204.76,40040.76
Western Region,Western Region,Central,4858.24,0.0,2272.73,0.0,7130.97,1068.66,91.5,70.86,162.36,8361.99
Western Region,Western Region,Sub-Total,24714.24,0.0,3124.73,0.0,27838.97,1068.66,3423.34,30147.82,33571.16,62478.79
Western Region,Western Region,State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western Region,Western Region,Private,200.0,0.0,0.0,0.0,200.0,0.0,0.0,147.15,147.15,347.15
Western Region,and Diu,Central,387.15,0.0,109.68,0.0,496.83,29.22,0.0,0.0,0.0,526.05
Western Region,and Diu,Sub-Total,587.15,0.0,109.68,0.0,696.83,29.22,0.0,147.15,147.15,873.2
Western Region,and Diu,Central,2835.45,0.0,197.59,0.0,3033.04,438.0,0.0,0.0,0.0,3471.04
Western Region,and Diu,State,21120.0,900.0,2693.72,0.0,24713.72,0.0,5446.5,15431.41,20877.91,45591.63
Western Region,Total (Western,Private,30817.17,500.0,3425.0,0.0,34742.17,0.0,481.0,73573.69,74054.69,108796.86
Western Region,Region),Central,21475.56,0.0,3280.67,0.0,24756.23,3240.0,2166.58,4954.09,7120.67,35116.9
