Market,Data Centers
Mumbai,60
Chennai,33
Hyderabad,36
Navi Mumbai,25
Bangalore,31
Noida,19
Pune,17
New Delhi,12
Ahmedabad,11
Kolkata,8
Cochin,7
Visakhapatnam,6
Jaipur,5
Gurgaon,5
Coimbatore,3
Bhubaneswar,3
Indore,3
Raipur,2
Lucknow,2
Nashik,2
Ludhiana,2
Rohtak,1
Jamnagar,1
Panchkula,1
Agartala,1
Guntur,1
Mohali,1
Alwar,1
Madurai,1
Pondicherry,1
Patna,1
Bhopal,1
Faridabad,1
Murshidabad,1
